n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,3,18.8746,7489.8257,32.6889,1330.4488
0.02,3,18.7657,7493.0128,32.5002,1345.7879
0.03,3,18.6578,7496.1647,32.3134,1361.1756
0.04,3,18.5511,7499.2819,32.1286,1376.5991
0.05,3,18.4455,7502.3649,31.9456,1392.0468
0.06,3,18.3409,7505.414,31.7645,1407.5079
0.07,3,18.2375,7508.4297,31.5853,1422.9724
0.08,3,18.135,7511.4125,31.4078,1438.4312
0.09,3,18.0336,7514.3628,31.2322,1453.8756
0.1,3,17.9333,7517.2809,31.0583,1469.298
0.11,3,17.8339,7520.1674,30.8862,1484.6911
0.12,3,17.7355,7523.0226,30.7158,1500.0482
0.13,3,17.6381,7525.8469,30.5471,1515.3634
0.14,3,17.5417,7528.6408,30.3801,1530.631
0.15,3,17.4463,7531.4047,30.2148,1545.846
0.16,3,17.3517,7534.1388,30.0511,1561.0035
0.17,3,17.2582,7536.8438,29.889,1576.0994
0.18,3,17.1655,7539.5198,29.7284,1591.1297
0.19,3,17.0737,7542.1674,29.5695,1606.0909
0.2,3,16.9829,7544.7869,29.4121,1620.9797
0.21,3,16.8929,7547.3786,29.2563,1635.7931
0.22,3,16.8038,7549.9429,29.1019,1650.5286
0.23,3,16.7156,7552.4803,28.9491,1665.1836
0.24,3,16.6282,7554.991,28.7977,1679.7559
0.25,3,16.5416,7557.4754,28.6478,1694.2438
0.26,3,16.4559,7559.9338,28.4993,1708.6452
0.27,3,16.371,7562.3667,28.3522,1722.9588
0.28,3,16.2869,7564.7742,28.2066,1737.1832
0.29,3,16.2036,7567.1569,28.0623,1751.317
0.3,3,16.1211,7569.515,27.9193,1765.3593
0.31,3,16.0394,7571.8488,27.7778,1779.3091
0.32,3,15.9584,7574.1586,27.6375,1793.1655
0.33,3,15.8782,7576.4449,27.4985,1806.9281
0.34,3,15.7987,7578.7078,27.3609,1820.5961
0.35,3,15.72,7580.9477,27.2245,1834.1691
0.36,3,15.642,7583.1648,27.0894,1847.6468
0.37,3,15.5647,7585.3596,26.9555,1861.0288
0.38,3,15.4881,7587.5323,26.8229,1874.3151
0.39,3,15.4122,7589.6832,26.6915,1887.5054
0.4,3,15.3371,7591.8125,26.5612,1900.5998
0.41,3,15.2626,7593.9206,26.4322,1913.5982
0.42,3,15.1887,7596.0077,26.3043,1926.5008
0.43,3,15.1156,7598.0741,26.1776,1939.3077
0.44,3,15.0431,7600.1201,26.052,1952.0191
0.45,3,14.9712,7602.1459,25.9276,1964.6352
0.46,3,14.9,7604.1518,25.8042,1977.1563
0.47,3,14.8295,7606.1381,25.682,1989.5828
0.48,3,14.7595,7608.1051,25.5608,2001.915
0.49,3,14.6902,7610.0529,25.4407,2014.1533
0.5,3,14.6215,7611.9818,25.3217,2026.2981
0.51,3,14.5533,7613.892,25.2037,2038.35
0.52,3,14.4858,7615.7839,25.0867,2050.3093
0.53,3,14.4189,7617.6576,24.9708,2062.1766
0.54,3,14.3525,7619.5134,24.8559,2073.9525
0.55,3,14.2868,7621.3515,24.7419,2085.6375
0.56,3,14.2216,7623.1721,24.629,2097.2321
0.57,3,14.1569,7624.9755,24.517,2108.737
0.58,3,14.0928,7626.7618,24.406,2120.1527
0.59,3,14.0293,7628.5314,24.2959,2131.4799
0.6,3,13.9663,7630.2843,24.1868,2142.7192
0.61,3,13.9038,7632.0209,24.0786,2153.8712
0.62,3,13.8419,7633.7412,23.9713,2164.9367
0.63,3,13.7804,7635.4456,23.8649,2175.9161
0.64,3,13.7195,7637.1343,23.7594,2186.8103
0.65,3,13.6591,7638.8073,23.6547,2197.6199
0.66,3,13.5992,7640.465,23.551,2208.3455
0.67,3,13.5398,7642.1075,23.4481,2218.9879
0.68,3,13.4809,7643.7349,23.3461,2229.5477
0.69,3,13.4225,7645.3476,23.2449,2240.0256
0.7,3,13.3646,7646.9457,23.1445,2250.4223
0.71,3,13.3071,7648.5292,23.045,2260.7385
0.72,3,13.2501,7650.0986,22.9463,2270.975
0.73,3,13.1936,7651.6538,22.8483,2281.1323
0.74,3,13.1375,7653.1951,22.7512,2291.2111
0.75,3,13.0819,7654.7227,22.6549,2301.2123
0.76,3,13.0267,7656.2367,22.5593,2311.1364
0.77,3,12.972,7657.7372,22.4645,2320.9842
0.78,3,12.9177,7659.2245,22.3705,2330.7564
0.79,3,12.8638,7660.6988,22.2772,2340.4535
0.8,3,12.8104,7662.1601,22.1846,2350.0764
0.81,3,12.7574,7663.6086,22.0928,2359.6257
0.82,3,12.7048,7665.0445,22.0017,2369.1021
0.83,3,12.6526,7666.4679,21.9113,2378.5063
0.84,3,12.6009,7667.879,21.8217,2387.8389
0.85,3,12.5495,7669.278,21.7327,2397.1005
0.86,3,12.4985,7670.6649,21.6444,2406.292
0.87,3,12.448,7672.0399,21.5568,2415.4139
0.88,3,12.3978,7673.4032,21.4699,2424.4669
0.89,3,12.348,7674.7548,21.3837,2433.4516
0.9,3,12.2986,7676.095,21.2981,2442.3687
0.91,3,12.2496,7677.4239,21.2132,2451.2188
0.92,3,12.2009,7678.7416,21.1289,2460.0026
0.93,3,12.1526,7680.0482,21.0453,2468.7207
0.94,3,12.1047,7681.3438,20.9623,2477.3738
0.95,3,12.0572,7682.6287,20.8799,2485.9624
0.96,3,12.01,7683.9029,20.7981,2494.4872
0.97,3,11.9631,7685.1665,20.717,2502.9488
0.98,3,11.9166,7686.4196,20.6365,2511.3477
0.99,3,11.8705,7687.6625,20.5565,2519.6847
